**Verdict**

Build tool retrieval first. Current hot path sends every schema on every model call: [loop.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/agent/loop.ts:145) calls `registry.toolSpecs()`, and [registry.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/tools/registry.ts:112) only has “all specs” mode. Literature says narrow tool exposure improves cost and selection. This is not replacing registry. It is retrieval-gating over registry.
**Top 5 By Benefit / Effort**
1. **Dynamic tool retrieval layer** — first build. M effort. Highest direct benefit: prevents free-tier token limit, cuts tool-schema prompt tokens likely 50-80%, improves tool choice.
2. **Gate-failure CRITIC / Reflexion repair memo**. M. Run only after failed gate or repeated same tool error; store concise failure lesson in ledger/mission log.
3. **Agentless-style localization → repair → validation path**. M. Strengthen `code.localize_failure` and add `code.related_files` / import graph ranking.
4. **Query-aware context compression / evidence memory**. M. Upgrade [context.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/agent/context.ts:117), not full MemGPT cosplay.
5. **ADaPT-style adaptive subagent decomposition**. S/M. Spawn only when uncertainty/failure threshold is hit; don’t make every plan recursive.
**Technique Review**
| Technique | Paper | Core Idea | Exact Maestro Mapping | Effort | Benefit / Verdict |
|---|---|---|---|---|---|
| Tool retrieval over registry | ToolLLM 2023, Gorilla 2023, RAG-MCP 2025, Less-is-More 2024/2025: API/tool retrievers select relevant tools before prompting; RAG-MCP reports >50% prompt-token cuts and much higher selection accuracy.    ([arxiv.org](https://arxiv.org/abs/2411.15399)) | Retrieve top-k tool specs from name/description/schema/effect/recent failures. | Add `src/tools/retrieval.ts`; add `toolSelector` to `RunAgentConfig`; replace `registry.toolSpecs()` in [loop.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/agent/loop.ts:149) with selected specs. Keep `plan.*`, `agent.list_tools`, new `agent.request_tools`, recent tools, completion tool always visible. | M | Worth it. Direct fix for 60-schema prompt bloat. |
| Toolformer-style learned tool use | Toolformer 2023 trains models to decide when/how to call APIs.  | Useful concept, but core result is training-based. | Do not fine-tune. Use only as motivation for adding eval cases in [eval/tasks.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/eval/tasks.ts:1) that measure correct tool call choice under reduced schemas. | L if literal | Cargo-cult if implemented as synthetic training. Skip. |
| ACI / better coding tools | SWE-agent 2024 shows agent-computer interface design materially improves repo navigation/edit/test behavior.  | Tool interface quality beats generic shells. | Improve [tools/code/index.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/tools/code/index.ts:244), [tools/fs/index.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/tools/fs/index.ts:76): add range reads, import graph, structured patch previews, better test failure parsing. | M | Real benefit. Fewer wandering reads and bad edits. |
| Agentless localization-repair-validation | Agentless 2024 argues simple localization → repair → validation can beat complex agents on SWE-bench Lite. ([arxiv.org](https://arxiv.org/abs/2407.01489)) | Don’t over-agent when deterministic workflow works. | Add deterministic “SWE repair mode” in [agent/runner.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/agent/runner.ts:139) or a tool-chain helper: `shell.run_tests → code.localize_failure → fs.read_many → fs.edit → shell.run_tests`. | M | Good. Complements model-driven loop with stronger default path. |
| Reflexion after failures | Reflexion 2023 stores verbal lessons from external feedback, no weight updates.  | Convert failed attempts into reusable text memory. | On gate failure in [loop.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/agent/loop.ts:180), write a short `plan.note_fact` / ledger reflection keyed by failure type; persist in [mission-log.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/agent/mission-log.ts:17). | S/M | Good only after real feedback. Do not run every turn. |
| CRITIC / Self-Debug loop | CRITIC uses external tools for critique; Self-Debugging uses execution feedback and code explanation.   | Critique must be grounded in tests/build/tool output. | Add `src/agent/critique.ts`; call it after failed gate or repeated `ToolInputError`; feed structured repair memo back instead of raw generic gate text from [gate.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/agent/gate.ts:103). | M | Worth it. Bounded loop, no infinite self-talk. |
| ADaPT adaptive decomposition | ADaPT 2023/2024 decomposes only when executor cannot solve subtask.  | Recursive planning as-needed, not always. | Extend `agent.spawn` in [tools/agent/index.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/tools/agent/index.ts:16) and [subagent/spawn.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/subagent/spawn.ts:72) with automatic scope suggestions when gate/tool failure repeats. | S/M | Good. Avoid always-on multi-agent token burn. |
| Plan-and-Solve schema hardening | Plan-and-Solve 2023 plans then executes subtasks to reduce missing-step errors.  | Maestro already has this via `plan.*`. | Upgrade [ledger.ts](/Users/aktanazat/Documents/projects/personal/maestro/src/agent/ledger.ts:1): add `acceptanceCriteria`, `verificationCommand`, `risk` per plan item. | S | Marginal but cheap. Already mostly done. |
| ToT / LATS search | ToT 2023 and LATS 2023/2024 explore multiple reasoning/action branches with self-eval and environment feedback.   | Search helps hard ambiguous tasks, but costs many calls. | Do not wrap main loop. Add optional `agent.spawn` “branch candidates” mode only for localization ambiguity, using read-only tools and gate feedback. | L full, M narrow | Full version is cargo-cult here. Narrow branch search maybe useful. |
